streamGauge,NSE,peakFlow.observed,peakFlow.modeled,percentError.peakFlow,flowVolume.observed,flowVolume.modeled,percentError.FlowVolume,ID
CENTRAL_IRVINE,0.0691853011429436,33.998,14.5478173187194,-57.2097849322919,1725292.8,414562.719933418,-75.9714571385554,17
PETERS,-0.126926605727723,257.665,275.868195782036,7.06467536609008,21912796.8,6052808.62216018,-72.3777449432645,17
SANDIEGO_CULVER,0.279169011514012,57.011,65.7911999065359,15.4008873840766,5716184.4,2204329.04165513,-61.4370550807436,17
11048553,0.451278526967156,5.765,8.44064151959507,46.4118216755433,370494,177555.908513877,-52.0759017652439,17
SANDIEGO_CAMPUS,0.808592450986348,353.214,326.673320538779,-7.51405081939588,19276207.2,11147576.8962374,-42.1692411760472,17
ELMODENA,0.799910057740477,1070.96,701.515901720549,-34.4965356576764,16567988.4,22794631.7765314,37.582374071021,18
CENTRAL_IRVINE,0.594566970097866,240.664,150.237456122375,-37.573772511728,7444058.4,10378507.7340191,39.4200203214304,18
PETERS,0.909398166999863,2476.254,2135.23493971262,-13.7715702947832,110200543.2,78805154.0833453,-28.4893233780854,18
11048400,0.57098578509389,99.8,91.8816634000378,-7.93420500998217,8030952,5704773.19615042,-28.9651688099939,18
11048200,-37.3130438181838,5.0825,24.3494820790051,379.084743315398,367227,795211.669668853,116.544989793466,18
SANDIEGO_CULVER,0.662922655874241,975.867,1329.92127299021,36.2809965897207,92612944.8,62333649.7399879,-32.6944522986511,18
11048553,0.557190536820448,48.7,33.7354559277585,-30.7280165754446,3975543,2473837.56824512,-37.7735929847793,18
SANDIEGO_CAMPUS,0.830582313760922,2883.778,3929.5930821095,36.265450464963,224039628,169553810.179422,-24.3197233931212,18
ELMODENA,-0.522371059188485,8.555,6.64945397002093,-22.2740623025023,745830,87058.1396683714,-88.3273480996512,19
CENTRAL_IRVINE,-0.22121428656333,2.921,8.59617460638547,194.288757493511,91465.2,110031.727536441,20.2990072032211,19
PETERS,-0.0989975450046643,54.349,22.5633962705248,-58.4842476024861,3666970.8,488216.295842109,-86.6861144396866,19
